,productId,userId,score
696,B0009S2TEI,AKZLIIH3AP4RU,4.0
698,B0009S2TEI,AZSN1TO0JI87B,5.0
700,B0009S2TEI,A2LJY0HWDYR1IN,4.0
706,B0009S2TEI,AT1J4MGWHVZEG,4.0
710,B0009S2TEI,A1XTP5ZZ6PCKUY,4.0
728,B0009S2TEI,A3M7RECGYLXOPA,5.0
810,B00008FG25,A11BEQHZLXQ124,5.0
823,B000BEZOW4,A3ETGCGLFFYLZD,2.0
829,B00002067P,A2RFG9LI7JDILS,5.0
833,B000BEZOWO,A1020L7BWW9RAX,4.0
850,B000MTFFJA,A2ETZ7GF5B1712,3.0
852,B000MTFFJA,AGAMDS21PJZPK,4.0
853,B000MTFFJA,AKW4KJ4GZUTPI,4.0
856,B000MTFFJA,A33JPAKU5HZTNW,5.0
857,B000MTFFJA,A3C6ZCBUNXUT7V,4.0
858,B000MTFFJA,A175TPTHMNS7S4,4.0
883,B000PITXRS,A3UNGC700SNYHL,5.0
890,B000PITXRS,AT4D8U9567263,4.0
900,B000PITXRS,A38QEATH3NODFM,5.0
905,B000PITXRS,A2RTWQUGRY0UFZ,4.0
908,B00008FG24,ASM1HMT2FKIL6,5.0
914,B00004WIK0,AALYKLHR3FOUD,5.0
930,B00002067Q,A1ANRKHR4QWXJU,4.0
934,B000MTFFJU,A9Q28YTLYREO7,5.0
936,B00002067J,A3M0XI1C89RQMF,5.0
937,B00002067J,A3FIHGLJVB0WE1,2.0
938,B000058A92,A1XNPOQDLLJJU3,5.0
940,B000058A92,A3U3PA6J2XOVFK,5.0
944,B000058A92,A3VZVYWCTGIEV0,4.0
952,B00000C3QF,AYQNPAN1K6B6B,5.0
960,B0002UJN88,A14CRAQNS6NHRJ,4.0
961,B0002UJN88,A1ODZ7SDUPEGNK,4.0
964,B000068VCJ,A1IQH2NNRNGSA8,4.0
966,B0000255CJ,ATBGKFT0S7P2H,2.0
968,B000068VCF,A140CE1JEBW4IS,5.0
973,B000068VCF,A1JJP6UO6OQAZ3,4.0
980,B000BEZOWY,A3VZVYWCTGIEV0,4.0
1010,B00002067F,A3OJ012QPTGMLR,5.0
1023,B00002067R,A1ANRKHR4QWXJU,4.0
1035,B000057ENV,A2E816C5N51F6X,5.0
1039,B000068VCK,A1IQH2NNRNGSA8,4.0
1040,B00000C3Q0,A2QLQJ4G30LT6L,4.0
1042,B00000C3Q0,A1Y8FBJLVK6LS9,5.0
1043,B00000C3Q0,A3VLAZEPO9UJEA,4.0
1057,B0009VKTAG,AS5WZV6SBZAAK,5.0
1089,B00002067S,AYOO12C9Y2T95,4.0
1091,B00004WIKZ,A2X7NBUETXC19E,3.0
1096,B0000255CL,A12DOJO2C65DAS,5.0
1102,B0000255CL,A1L3H1UOML7VJF,5.0
1105,B0000255CL,A3116ITCY40DC6,5.0
1107,B0000255CL,A24D4ND2K1TEOA,5.0
1110,B0000255CL,A2QWMT9F3LUSHC,5.0
1112,B0000255CL,A174NPQZ1EABX1,4.0
1116,B0000255CL,A38BKZWFW1QTQ3,5.0
1117,B0000255CL,ASVNSWIXBV72Q,5.0
1119,B0000255CL,ANBSW3BALFRR2,4.0
1122,B0000255CL,A22IYKCDICK3BI,5.0
1123,B0000255CL,A3TKL7X26QKKMO,5.0
1125,B0000255CL,A2F0S0C1H39U1N,5.0
1131,B0000255CL,A3V5O5G3I1T2NX,5.0
1132,B0000255CL,A27ZCU9LK0CMQ5,5.0
1134,B0000255CL,A2P61X08I2NYZU,5.0
1135,B00000C3Q7,A30IQE4G73MT80,4.0
1143,B00009LW3D,A367Q9VRWQZG7W,5.0
1145,B00009LW3D,A2H0JYMK5IR0HY,5.0
1150,B00009LW3D,A2A7NHE5HTK79N,5.0
1152,B0002B7CQC,A2EGK0YRDF4ZZB,5.0
1162,B00002067T,A3FL6CIO8QIJ2F,5.0
1168,B00002067T,A2GM9GNP2G8HO1,5.0
1170,B00002067T,A2U49LUUY4IKQQ,5.0
1173,B00002067T,A3RC3AK8UN89I9,5.0
1175,B00002067T,A13E0ARAXI6KJW,4.0
1177,B00002067T,A2JBDC1OR1KZGP,5.0
1178,B00002067T,AJTNK8PS3SKZW,5.0
1179,B00002067T,A23BA0P1V4LNL5,5.0
1198,B00002067T,A2FWEZ0QS8N7A7,5.0
1207,B00002067T,A2HL2XV3ARX1Q0,5.0
1209,B00002067T,ADFNFRKKHVPAK,5.0
1211,B00002067T,A2VHYWSV7ZLZOV,5.0
1213,B00002067T,AD7BDADNUMX8F,5.0
1235,B00002067T,A2JAKHFYI88ZX0,5.0
1237,B00002067T,A2UI2GW70Q8EXA,5.0
1238,B00002067T,A1IWWRZJOXOSYP,5.0
1240,B00002067T,A8EDTKSPOMRWK,5.0
1249,B00002067T,A1FML9FCUPV6TI,5.0
1262,B00002067T,A2IMLVEQNPZCUS,1.0
1272,B00002067T,A1SFRUEEWK1AZU,4.0
1276,B00002067T,A1RJD10TTI568L,4.0
1318,B0000249X3,ATE5SA1VTJNP8,5.0
1351,B0000249X3,AO4A961ZKHJPL,5.0
1352,B0000249X3,A2EGK0YRDF4ZZB,5.0
1360,B0000249X3,A6P1YY7PJVO3K,4.0
1361,B0004JMTXI,ATLZNVLYKP9AZ,5.0
1372,B00000HYFL,A2MIJYUH0L6TNE,1.0
1388,B00009LW32,A2AIMXT9PLAM12,4.0
1391,B00008FG2S,A6FIAB28IS79,5.0
1400,B00002067M,A2NJXOU4SZI8XG,4.0
1408,B000058A95,A35JR4D6FLXYRQ,5.0
1410,B000058A95,A3JPNYUTLSEAQN,4.0
1411,B000058A95,AAHM9PTW1M2SN,4.0
1417,B00002067U,A1SFRUEEWK1AZU,4.0
1421,B00002067U,A2FWEZ0QS8N7A7,5.0
1429,B00002067U,A2HL2XV3ARX1Q0,5.0
1431,B00002067U,ADFNFRKKHVPAK,5.0
1433,B00002067U,A2VHYWSV7ZLZOV,5.0
1457,B00002067U,AD7BDADNUMX8F,5.0
1466,B00002067U,A3FL6CIO8QIJ2F,5.0
1469,B00002067U,A2JBDC1OR1KZGP,5.0
1470,B00002067U,AJTNK8PS3SKZW,5.0
1471,B00002067U,A23BA0P1V4LNL5,5.0
1480,B00002067U,A2GM9GNP2G8HO1,5.0
1482,B00002067U,A2U49LUUY4IKQQ,5.0
1485,B00002067U,A3RC3AK8UN89I9,5.0
1500,B00002067U,A1RJD10TTI568L,4.0
1507,B00002067U,A13E0ARAXI6KJW,4.0
1521,B00002067U,A1FML9FCUPV6TI,5.0
1527,B00002067U,A2JAKHFYI88ZX0,5.0
1529,B00002067U,A2UI2GW70Q8EXA,5.0
1530,B00002067U,A1IWWRZJOXOSYP,5.0
1532,B00002067U,A8EDTKSPOMRWK,5.0
1546,B00002067U,A2IMLVEQNPZCUS,1.0
1555,B000058A9Z,ARO7VFY4CBGRI,1.0
1556,B00008FG2G,A3MVGK7L593Y24,5.0
1569,B00002067B,A3QTSCTRZF3VGY,5.0
1571,B00002067B,A20DZX38KRBIT8,5.0
1573,B00002067B,A1FZA9C5MVIWHE,5.0
1575,B00002067B,A47DVD55AAZ0M,4.0
1581,B000058A96,A1C20CN2A2UP99,5.0
1587,B00009LW3F,A3QS1EPDZTLPWS,4.0
1594,B00002067N,A2QMRHJOWJSDOQ,5.0
1602,B00002067N,A3TETPLQ10E0Y9,5.0
1612,B00009LW31,AQ9T9A5WJXVA9,5.0
1614,B00009LW31,A2AIMXT9PLAM12,4.0
1615,B00009LW31,A16CZRQL23NOIW,5.0
1622,B00008FG2H,A23I4TZSZYSY1Q,5.0
1623,B00008FG2H,A2DIWGD35DLHWN,5.0
1627,B000058A9Y,ARO7VFY4CBGRI,1.0
1641,B00008FG2D,ADG536J5D7FJY,5.0
1649,B00021Y9B8,A3EJWHGO91FA0N,5.0
1652,B00004WIKY,A2CW9IQAPFEYLM,5.0
1653,B00004WIKY,A34UJ7SVR8NYZS,4.0
1658,B000MTFFJ0,A3CPA0XGKNY9ZJ,4.0
1689,B000I8OIFC,A1UBBIDQTDDF79,5.0
1697,B00000HYFV,A22XZ3IJSRTQ1O,5.0
1722,B00008FG3M,A2BQOLU1OH2LEB,5.0
1724,B00004WILF,APN6DO7VHDLTN,2.0
1726,B00004WIL1,AO4A961ZKHJPL,4.0
1728,B000BEZOXS,AK8B26S9ATCN7,2.0
1729,B00000C3R1,A2I1I013BYF5S1,5.0
1733,B00002068T,A3L9ITICJRQWT9,5.0
1735,B00002068T,A3V4SS3L6TEUBW,2.0
1744,B00000HYGJ,A328S9RN3U5M68,4.0
1753,B00009LW4Y,A219CCXEPDDB5U,5.0
1755,B00009LW4Y,A3LXYFX0RZIYA1,5.0
1756,B00009LW4Y,A1F89OE7BAM7EL,5.0
1759,B00009LW4Y,A1JUYF5D6TFFHB,5.0
1760,B00009LW4Y,A2J3D20HRW3JML,5.0
1761,B00009LW4Y,A2FIT02U72A9IY,5.0
1764,B0007KWOXO,A31KGKDIZH1GH8,5.0
1768,B00002068U,A3L9ITICJRQWT9,5.0
1770,B00002068U,A3V4SS3L6TEUBW,2.0
1779,B000H309DS,ANAYSRE3LX8GZ,2.0
1781,B000H309DS,A331OF34UX4Y1K,1.0
1783,B00004WILH,A1X67QWGL8QVX9,5.0
1789,B000I8OIGQ,A1IZETMYA8R2BR,5.0
1790,B000I8OIGQ,A2TAPL67U2A5HM,5.0
1792,B00009LW4Z,A2AIMXT9PLAM12,4.0
1794,B00009LW4Z,A23QTZE764PJNS,5.0
1804,B00008FG34,A11BEQHZLXQ124,2.0
1805,B000FILN7G,A22PLUFHYLF0DD,5.0
1825,B00000HYG3,A1D4PVZ0QWEAW1,4.0
1830,B00002068V,A1F6KNKYSHPNYX,4.0
1852,B0000249YL,AD39QGHGWAOPQ,4.0
1872,B0000249YL,A2ZKAK8WNWCYEF,5.0
1873,B0000249YL,A4BPK6TYITJS,5.0
1909,B00008FG39,A6FIAB28IS79,3.0
1912,B000020688,AICRDGOQ9KCVA,2.0
1918,B000020688,AQP1VPK16SVWM,4.0
1920,B000020688,A18IZ5QX2PRB3C,4.0
1921,B000020688,A3SAOHS7JGYTSJ,4.0
1925,B00004WILE,APN6DO7VHDLTN,2.0
1928,B0007KWOXY,A31KGKDIZH1GH8,5.0
1934,B00002068W,A1F6KNKYSHPNYX,4.0
1940,B00000HYGE,AL3Z1LZXS0Q1U,3.0
1945,B0002UNQZ4,A3HEFQ6CG0BV9O,5.0
1952,B00004WILB,A2X7NBUETXC19E,3.0
1953,B00002068H,AQ4B80F0JSBNI,4.0
1958,B0001Z4P9Q,A33HUURDJ4DVG3,2.0
1979,B00004WIL5,AUW3HCCTUOARV,5.0
2029,B0009S2TFW,A3Q3X38GXLRNOQ,5.0
2032,B0009S2TFW,A15AFDBL95DA5V,5.0
2045,B0009S2TFW,A3RWQLRQ1OSKGN,5.0
2050,B0009S2TFW,AZSN1TO0JI87B,4.0
2089,B000PITXSM,A2X7NBUETXC19E,4.0
2122,B0009S2TFC,A1QEWOSV05RYEO,5.0
2123,B0009S2TFC,A3QS1EPDZTLPWS,5.0
2124,B0009S2TFC,A19YHEBK099R7U,5.0
2134,B0009S2TFC,A3VZVYWCTGIEV0,4.0
2140,B0009S2TFC,A3C6CZC2JP67VK,4.0
2144,B0009S2TFC,A200C7YQJ45LRR,1.0
2150,B0009S2TFC,A1UMZ8CMS5X54H,5.0
2163,B0009S2TFC,A11D1KHM7DVOQK,2.0
2174,B0009S2TFC,A1OSWSG4YXN8KJ,4.0
2186,B0009S2TFC,AYCNDDEXSSK87,5.0
2188,B0009S2TFC,A1NP9X56O2MNLV,5.0
2193,B0009S2TFC,A2CH1K8VK94C4H,3.0
2204,B0009S2TFC,A2TZKXU6Q0EDNP,2.0
2205,B0009S2TFC,A918P6KPDBN0Q,5.0
2209,B0009S2TFC,A1CRBYQ5Z67HYM,5.0
2212,B0009S2TFC,A8PWD1BFY3NM0,1.0
2215,B0009S2TFC,A2WQY1B8ZS7QRZ,3.0
2227,B0009S2TFC,AT9QG15BRZ82Q,4.0
2230,B0009S2TFC,A3HM5G9IV1FTFP,5.0
2238,B0009S2TFC,A1OC3D2LGBFDJ4,5.0
2250,B0009S2TFC,A37ZKZP74PYAVY,5.0
2261,B0009S2TFC,A33D1LPCYUANWE,5.0
2265,B0009S2TFC,A1PS0U16JIGRVK,4.0
2276,B0009S2TFC,A3V4SS3L6TEUBW,1.0
2279,B0009S2TFC,AI37YX1U4KB1L,4.0
2281,B0009S2TFC,AKUKO0AIHRSXZ,4.0
2286,B0009S2TFC,A7VCK76U0QOQ1,5.0
2290,B000BEZOX8,AEUIDDK5MU1LI,4.0
2303,B00008FG3Q,A3IM5IGE0JCLHO,4.0
2310,B00004WILC,AQP1VPK16SVWM,3.0
2320,B00004WIL4,ATE5SA1VTJNP8,5.0
2323,B00004WIL4,A3M1NNDD95HR0R,5.0
2324,B00004WIL4,A2GUUF4JQR1ZPJ,4.0
2333,B00004WIL4,A2UF8BKAR1D75Y,2.0
2334,B00004WIL4,A33M07VZBYRMPY,5.0
2337,B00004WIL4,A32DTCFBBB9WIV,2.0
2341,B00004WIL4,A27816GPRIETEG,5.0
2346,B00004WIL4,AG53H6168J8MY,5.0
2347,B00004WIL4,A1UMZ8CMS5X54H,5.0
2357,B00004WIL4,ANDR5PCA6W83K,5.0
2366,B00004WIL4,A2WA0LKVRACYOY,5.0
2384,B00004WIL4,A331OF34UX4Y1K,4.0
2386,B00004WIL4,A6NEIWMTEWR7X,5.0
2388,B00004WIL4,A2A3XT20BBRWMS,4.0
2391,B00004WIL4,ADFXJSLJGN6EN,5.0
2392,B00004WIL4,A2PEOQGZUX0VEJ,4.0
2393,B00004WIL4,A230Z7M6UYT0FU,3.0
2399,B00004WIL4,AKFE1P1ZDBPXU,4.0
2401,B00004WIL4,A2X7NBUETXC19E,4.0
2402,B00004WIL4,A3I69IXPTDVKQF,5.0
2404,B00004WIL4,A1OKMIT8B373YD,5.0
2406,B00004WIL4,AXFI7TAWD6H6X,5.0
2407,B00004WIL4,A1IMVRSUTB96F5,5.0
2410,B00004WIL4,A17E28QEX42YU0,3.0
2411,B00004WIL4,A3KV8E79WT10ZI,5.0
2415,B00004WIL4,AWP80XL2KKJIV,5.0
2416,B00004WIL4,AAOMG1YP0VNP9,4.0
2419,B00004WIL4,A5R3U8ZSFKAL4,3.0
2481,B0000255DU,A2582KMXLK2P06,4.0
2482,B0000255DU,A2J8WWG4W0OFYQ,4.0
2483,B0000255DU,A16XRPF40679KG,5.0
2486,B0000255DU,A3LZGLA88K0LA0,4.0
2505,B00000C3R8,A2AIMXT9PLAM12,5.0
2549,B0009S2TFM,A2CEIVPX763WBQ,4.0
2550,B0009S2TFM,A1IMHDHOKF2J33,5.0
2557,B000BKJLUE,AC0Z6U9OWFRT0,4.0
2570,B000BKJLUE,A2UXP4B1Z05IY5,1.0
2574,B000BKJLUE,A22KYWYEL6GBES,1.0
2585,B000BKJLUE,A1XP7P3X9MRE5H,3.0
2588,B000BKJLUE,A235NA61RC6YC1,4.0
2596,B000BKJLUE,A2TAPL67U2A5HM,3.0
2598,B000BKJLUE,A13N40YR6UZFRW,1.0
2599,B000BKJLUE,A3O5T5VAQ3TD17,3.0
2602,B000BKJLUE,A17HLF76N5UNYP,5.0
2603,B000BKJLUE,A2TD13LRUGU46X,4.0
2606,B000BKJLUE,A6UW2KEO5UOSA,4.0
2607,B000BKJLUE,A27G31U95O6SFY,1.0
2619,B000BKJLUE,A3STFVPM8NHJ7B,1.0
2632,B0007M42FU,A2WQY1B8ZS7QRZ,3.0
2648,B00008FG3J,A2BQOLU1OH2LEB,5.0
2649,B00004WILA,A3M0XI1C89RQMF,5.0
2651,B0007KWOXE,A31KGKDIZH1GH8,5.0
2660,B00008FG31,A2CW9IQAPFEYLM,4.0
2693,B00000HYGM,A3W4D8XOGLWUN5,4.0
2696,B00000HYGM,A2CZBGIJP8TZ1T,5.0
2727,B00002068S,A24D4ND2K1TEOA,4.0
2731,B000068VDC,A14PS7BDSYKG9U,5.0
2736,B00000HYG6,A35WUMHU9BV57Y,4.0
2741,B00000HYHE,A2C27IQUH9N1Z,5.0
2763,B000BEZOYW,A1VKY1QVKD9VIU,4.0
2768,B0000255E7,A2FWJ8NJKWJIKP,5.0
2775,B00000C3SB,A3DDSAGWD0UN9H,3.0
2781,B00000HYHQ,A1KCAB6A5E93IE,5.0
2784,B00000HYHQ,A1MI9FDCNB3CMR,4.0
2785,B00000HYHQ,AAG1G1VAIQJIT,5.0
2789,B00000C3SN,A16CZRQL23NOIW,5.0
2790,B00000C3SN,A2AIMXT9PLAM12,5.0
2792,B000068VEL,A3BT5ZLAZ87H1Q,5.0
2794,B000068VEL,A1EJ3H3MMXZ3O3,4.0
2821,B000Q23DO2,A29ZCVZWIWZBCH,5.0
2849,B00000HYH3,A6L0LTCYAEKSB,5.0
2858,B0000255EA,A3L9ITICJRQWT9,4.0
2862,B0000255EA,AIIR8E34EDKCQ,5.0
2880,B000063W9M,A3NU1QZV04N10Z,3.0
2881,B000063W9M,A9Q28YTLYREO7,4.0
2897,6304945221,A281NPSIMI1C2R,4.0
2944,B00008FG4H,A2R6RA8FRBS608,1.0
2949,B00008FG43,ACVFTS9X2MKJ8,4.0
3001,B0000255E5,AR14BIUHYR6B7,4.0
3002,B0000255E5,AARJLW29JSF31,4.0
3004,B0000255E5,A1Q8TMHHMPQHO9,4.0
3006,B0000255E5,A1IWWRZJOXOSYP,3.0
3012,B000068VE9,A300AR4IM0KW21,5.0
3022,B00000HYHS,A1X67QWGL8QVX9,5.0
3023,B0000255EN,A2PR6NXG0PA3KY,5.0
3027,B000MTFFLS,A328S9RN3U5M68,5.0
3031,B000MTFFLS,A2SBPBSTCDD5TC,2.0
3032,B000MTFFLS,A1ANRKHR4QWXJU,2.0
3039,B000020690,AVIZDOKC43P96,2.0
3042,B000I8OIHK,AUEHG0DB54B7K,5.0
3048,B0000A2YEH,A1FELYTQNCSEAI,5.0
3054,B00008FG4E,AZX0R6GC9106N,5.0
3072,B0000089PG,AYOO12C9Y2T95,3.0
3073,B0000089PG,A2HIL1IWWD2WEA,4.0
3076,B0000089PG,AUDMEN4VFE8CM,5.0
3079,B0000089PG,A4BPK6TYITJS,3.0
3092,B0000089PG,A4UKBG3M5U5TI,4.0
3097,B0000089PG,A332RGE8UV48AY,3.0
3105,B0000089PG,A2J57EQ9KPGXR9,5.0
3136,B0000089PG,A2YFIS1PXESJ31,5.0
3158,B0000089PG,A3LU79BYMWZEW9,4.0
3167,B0000089PG,A28WBUWQIZGK6D,2.0
3169,B0000089PG,A9Q28YTLYREO7,1.0
3170,B0000089PG,A3RMAWK4ELOLRZ,3.0
3173,B0000089PG,AJI80WO9V8V6S,1.0
3176,B0000089PG,A2W8GURWX2CGQ6,1.0
3178,B0000089P0,A382AH0YTZJHQ5,4.0
3181,B000068VE4,A1GPDE0SVI2EUP,5.0
3186,B00000HYHR,A2CW9IQAPFEYLM,5.0
3190,B00000HYHR,A3ORP7OCMQD0LL,5.0
3196,B00000HYH6,A1KUU3Z857ZWR8,4.0
3197,B0000249ZN,A2Y9S5X41ASCCX,5.0
3198,B0000249ZN,A3QS1EPDZTLPWS,5.0
3203,B000068VEP,A3CN9CCJUNIPKT,4.0
3208,B00002069X,A3KQLV5QJUGE95,1.0
3240,B000H309E2,A3SWWXWV1WDZ68,5.0
3242,B000H309E2,A388ZDFVK72VCA,5.0
3245,B000H309E2,A281NPSIMI1C2R,5.0
3251,B000H309E2,A2ULSA0IRUE09E,5.0
3256,B000H309E2,A146D2LYLICNLS,4.0
3268,B000H309E2,ADKHI1TUGAX4,4.0
3270,B000068VE3,AQ9T9A5WJXVA9,4.0
3271,B0000089P7,A2F9JDBYG6U9VH,5.0
3272,B0000255E3,A1Q8TMHHMPQHO9,5.0
3273,B0000255E3,A6FIAB28IS79,3.0
3277,B000068VED,A3C9ZUZE9OLEEM,5.0
3278,B00002069M,A8W8JNQ9BJUYB,4.0
3289,B00008FG44,A4BPK6TYITJS,2.0
3299,B000I8OIHA,AZC562U18BK2S,3.0
3303,B0000255EQ,A2HYKU8KGHL1SR,4.0
3304,B00000HYHT,A4LLXH0IZ3LMQ,3.0
3307,B00000HYHT,A1LKRGU650HBXW,4.0
3310,B00000HYHT,A2KD62P971YDYL,5.0
3311,B00000HYHT,A18IZ5QX2PRB3C,4.0
3315,B00000HYHT,AJYSM99XWVT4O,4.0
3320,B00000HYHT,A3F2DHG5KIZRSV,1.0
3322,B00000HYHT,A34CXLS24ETLMO,5.0
3325,B00008FG4W,A2Y5SPL6VURY3D,4.0
3335,B00005N5AA,A3SAOHS7JGYTSJ,4.0
3342,B00005N5AA,AJX0Q5B0QEP57,5.0
3343,B00005N5AA,A3VZVYWCTGIEV0,4.0
3356,B00005N5AA,A4OSXRZR2BMX8,4.0
3357,B00005N5AA,ACE57M02TNPJW,4.0
3359,B00005N5AA,ANBSW3BALFRR2,3.0
3371,B00005N5AA,A2QUK79K7IH3U7,4.0
3374,B00005N5AA,AGRHEXZ7D0PGD,4.0
3376,B00005N5AA,A18HT6WNU6GH8R,3.0
3378,B00005N5AA,A1E371HE68KMWB,5.0
3380,B000068VEE,A3C9ZUZE9OLEEM,5.0
3395,B000020699,A1LQIGGUB7R6JS,4.0
3396,B0007M42GE,A20JK8DT702CWE,5.0
3418,B00004RJAW,A16HM5IJDLDQOP,4.0
3419,B00004RJAW,A9Q28YTLYREO7,5.0
3425,B00004RJAW,A39CYQVU20TZ1E,4.0
3428,B00004RJAW,A1EZHHHUFALJUQ,5.0
3429,B00004RJAW,A4F9P9ZRYHLVB,5.0
3454,B00000HYHW,A6FIAB28IS79,4.0
3460,B00009LW59,A33GGROUQRQZS,5.0
3461,B00009LW59,AZC562U18BK2S,4.0
3462,B00009LW59,A285EUIZKUEMNI,5.0
3469,B00002069V,A8EDTKSPOMRWK,3.0
3472,B00002069V,A2PPUMFYX2WVN0,5.0
3475,B000L930I4,AR18RNXSVMXIP,5.0
3476,B000L930I4,A1A2FQKRSD9GL9,1.0
3489,B000L930I4,A33R34S1ZYG9XE,5.0
3491,B000L930I4,A2NJO6YE954DBH,4.0
3505,B000L930I4,A2PV6GK1HV54Y9,4.0
3535,B000L930I4,A3RC3AK8UN89I9,5.0
3545,B000L930I4,A31U2QT7SAL7K,5.0
3599,B00000HYH5,A31TTO8136TJZG,5.0
3601,B00008FG4A,AQ4B80F0JSBNI,4.0
3613,B000FILN8U,A1K9IW99EFBZ52,1.0
3633,B00004RJAZ,A1IBC9XP2LICQL,5.0
3639,B00004RJAZ,A13IKSGDYNBNQS,5.0
3643,B00004RJAZ,AJYSM99XWVT4O,5.0
3649,B00004RJAZ,A3VUXYHJGL9WWX,5.0
3657,B00004RJAZ,A14CWMXH8UTAFF,5.0
3680,B00004RJAV,A36CHPMHHD1IO5,5.0
3686,B00004RJAV,A1P2NBM3P3TS2X,5.0
3717,B00004RJAV,A235NA61RC6YC1,4.0
3731,B00004RJAV,A1BMQA5PIZKU1P,3.0
3737,B000068VES,A14PS7BDSYKG9U,5.0
3744,B0000249ZM,A1J5KCZC8CMW9I,3.0
3757,B000FILN8A,A1S3IEVZI29T7H,5.0
3763,B000068VEK,AG1CBZSDBQ679,4.0
3765,B000BIOH7I,A145B8OHVNNFAJ,3.0
3766,B000BIOH7I,A2IAP1XFO6BK89,4.0
3787,B00000HYHZ,A24XYRH5NG3XJX,5.0
3794,B000068VE0,A1346E5MFVIG33,5.0
3805,B000KX0HGE,A2VXQL36IFQGKZ,5.0
3809,B000KX0HGE,A2JR5MYW7Q4XGN,4.0
3837,B000KX0HGE,A32Q0R5AVPCNWO,5.0
3845,B000KX0HGE,A24XYRH5NG3XJX,5.0
