,productId,title,userId,score,category
1569,B00002067B,Code Red,A3QTSCTRZF3VGY,5.0,Music| Hard Rock & Metal| Pop| Rock
1581,B000058A96,Act of Free Choice,A1C20CN2A2UP99,5.0,Music| Classic Rock| Folk| Pop| Rock
1587,B00009LW3F,Smojphace,A3QS1EPDZTLPWS,4.0,Music| Dance & Electronic| Miscellaneous| Pop
1594,B00002067N,Hamburger,A2QMRHJOWJSDOQ,5.0,Music| Alternative Rock| Pop| Rock
1612,B00009LW31,Igor Markevitch,AQ9T9A5WJXVA9,5.0,Music| Classical| Dance & Electronic| Miscellaneous
1622,B00008FG2H,No Detour Ahead,A23I4TZSZYSY1Q,5.0,Music| Broadway & Vocalists| Jazz| Pop
1627,B000058A9Y,Card Captor Sakura V.3,ARO7VFY4CBGRI,1.0,Music| Soundtracks
1641,B00008FG2D,Whip Appeal,ADG536J5D7FJY,5.0,Music| Jazz| R&B
1649,B00021Y9B8,The Lighter Side of Emmy,A3EJWHGO91FA0N,5.0,Music| Classical| Miscellaneous| Pop| Soundtracks
1652,B00004WIKY,Jazzmen Detroit,A2CW9IQAPFEYLM,5.0,Music| Jazz
1658,B000MTFFJ0,Fall,A3CPA0XGKNY9ZJ,4.0,Music| Country| Pop
1689,B000I8OIFC,Benjamin Britten: The Five Canticles; Purcell Realizations,A1UBBIDQTDDF79,5.0,Music| Classical| Pop
1697,B00000HYFV,Les Baxter,A22XZ3IJSRTQ1O,5.0,Music| Jazz| Latin Music| Pop
1722,B00008FG3M,All About My Girl,A2BQOLU1OH2LEB,5.0,Music| Jazz
1724,B00004WILF,Roger Voudouris,APN6DO7VHDLTN,2.0,Music| Pop
1726,B00004WIL1,Jazz Way Out,AO4A961ZKHJPL,4.0,Music| Jazz| Pop
1728,B000BEZOXS,Available for Propaganda,AK8B26S9ATCN7,2.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock
1729,B00000C3R1,Josef Greindl Singt Carl Loewe Balladen,A2I1I013BYF5S1,5.0,Music| Classical| Pop
1733,B00002068T,"Future Sounds of Jazz, Vol. 6 [Vinyl]",A3L9ITICJRQWT9,5.0,Music| Dance & Electronic| Jazz| Pop| Rap & Hip-Hop
1744,B00000HYGJ,Barry: Solo and Chamber Works,A328S9RN3U5M68,4.0,Music| Classical| Pop
1753,B00009LW4Y,Wagner: Parsifal,A219CCXEPDDB5U,5.0,Music| Classical
1764,B0007KWOXO,Shakira Greatest Hits Karaoke CD+G Superstar Sound Tracks,A31KGKDIZH1GH8,5.0,Music| Miscellaneous
1768,B00002068U,Future Sounds of Jazz 6,A3L9ITICJRQWT9,5.0,Music| Dance & Electronic| Jazz| Pop| Rap & Hip-Hop
1779,B000H309DS,AC/DC: Back in Black - A Classic Album Under Review (2006),ANAYSRE3LX8GZ,2.0,Movies & TV| TV|Music| Rock
1783,B00004WILH,O Fabuloso Fitipaldi,A1X67QWGL8QVX9,5.0,Music| Pop| Soundtracks
1789,B000I8OIGQ,"Beethoven: Piano Sonatas, Opp. 57 ""Appassionata"", 10/3, 7 [Hybrid SACD]",A1IZETMYA8R2BR,5.0,Music| Classical
1792,B00009LW4Z,Shostakovich: Symphonies Nos. 5 & 6,A2AIMXT9PLAM12,4.0,Music| Classical
1804,B00008FG34,Unforgettable,A11BEQHZLXQ124,2.0,Music| Jazz| R&B
1805,B000FILN7G,When the Soul Is Settled: Music of Iraq,A22PLUFHYLF0DD,5.0,Music| Pop| World Music
1825,B00000HYG3,Quintet for a Day,A1D4PVZ0QWEAW1,4.0,Music| Jazz| Pop
1830,B00002068V,Listen Compute Rock Home,A1F6KNKYSHPNYX,4.0,Music| Children's Music| Dance & Electronic| Miscellaneous| New Age| Pop| Rock
1852,B0000249YL,Fifteen Minutes,AD39QGHGWAOPQ,4.0,Music| Alternative Rock| Pop| Rock
1909,B00008FG39,Reverse the Charges,A6FIAB28IS79,3.0,Music| Broadway & Vocalists| Jazz| Pop
1912,B000020688,Homespun: The Apple Venus Volume One Home Demos [Limited Edition],AICRDGOQ9KCVA,2.0,Music| Alternative Rock| Pop| Rock
1925,B00004WILE,Radio Dream,APN6DO7VHDLTN,2.0,Music| Pop| Rock
1928,B0007KWOXY,Avril Lavigne Greatest Hits Karaoke CD+G Superstar Sound Tracks,A31KGKDIZH1GH8,5.0,Music| Miscellaneous
1934,B00002068W,Listen Compute Rock Home: Best Of Dimension 5,A1F6KNKYSHPNYX,4.0,Music| Children's Music| Dance & Electronic| Miscellaneous| New Age| Pop| Rock
1940,B00000HYGE,Pieces of Eight,AL3Z1LZXS0Q1U,3.0,Music| Blues| Pop
1945,B0002UNQZ4,Arturo Benedetti Michelangeli plays Beethoven and Mozart,A3HEFQ6CG0BV9O,5.0,Music| Classical
1952,B00004WILB,Transition,A2X7NBUETXC19E,3.0,Music| Hard Rock & Metal| Pop| Rock
1953,B00002068H,Lucille,AQ4B80F0JSBNI,4.0,Music| Gospel| Pop| R&B| Rock
1958,B0001Z4P9Q,"Faure, Franck, Bizet & Saint-Saens",A33HUURDJ4DVG3,2.0,Movies & TV| TV|Music| Classical
1979,B00004WIL5,Deviant,AUW3HCCTUOARV,5.0,Music| Alternative Rock| Dance & Electronic| Hard Rock & Metal| Pop| Rock
2029,B0009S2TFW,Duality,A3Q3X38GXLRNOQ,5.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock
2089,B000PITXSM,Chronicles of Eden,A2X7NBUETXC19E,4.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock
2122,B0009S2TFC,Arular,A1QEWOSV05RYEO,5.0,Music| Alternative Rock| Dance & Electronic| Pop| Rap & Hip-Hop| World Music
2290,B000BEZOX8,Resolve,AEUIDDK5MU1LI,4.0,Music| Alternative Rock| Pop| Rock
2303,B00008FG3Q,Live,A3IM5IGE0JCLHO,4.0,Music| Christian| Gospel
2310,B00004WILC,He Who Rides the Tiger,AQP1VPK16SVWM,3.0,Music| Pop| Rock
2320,B00004WIL4,Wishmaster,ATE5SA1VTJNP8,5.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock| World Music
2481,B0000255DU,Hollies 1974,A2582KMXLK2P06,4.0,Music| Classic Rock| Pop| Rock
2505,B00000C3R8,Sir Thomas Beecham Conducts Richard Strauss,A2AIMXT9PLAM12,5.0,Music| Classical
2549,B0009S2TFM,Love Is Red,A2CEIVPX763WBQ,4.0,Music| Pop| Rock
2557,B000BKJLUE,Sliver: Best of the Box,AC0Z6U9OWFRT0,4.0,Music| Alternative Rock| Pop| Rock
2632,B0007M42FU,Complete Demos 1980-1986 [Vinyl],A2WQY1B8ZS7QRZ,3.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock
2648,B00008FG3J,Jubilation,A2BQOLU1OH2LEB,5.0,Music| Jazz
2649,B00004WILA,Glimmer of Hope,A3M0XI1C89RQMF,5.0,Music| Pop| Rock
2651,B0007KWOXE,ABBA Greatest Hits Karaoke CD+G Superstar Sound Tracks,A31KGKDIZH1GH8,5.0,Music| Miscellaneous
2660,B00008FG31,Fountain,A2CW9IQAPFEYLM,4.0,Music| Jazz
2693,B00000HYGM,The Prince of Egypt: When You Believe,A3W4D8XOGLWUN5,4.0,Music| Pop| R&B
2727,B00002068S,Fun 9,A24D4ND2K1TEOA,4.0,Music| Alternative Rock| Pop| Rock
2731,B000068VDC,Two Months Off 2 / Tiny Clicks,A14PS7BDSYKG9U,5.0,Music| Dance & Electronic| Pop
2736,B00000HYG6,Prohibido,A35WUMHU9BV57Y,4.0,Music| Latin Music| World Music
2741,B00000HYHE,Blue's Clues - Blue's Big Treasure: A Musical Adventure,A2C27IQUH9N1Z,5.0,Music| Children's Music| Pop| Soundtracks
2763,B000BEZOYW,Still Not Sorry,A1VKY1QVKD9VIU,4.0,Music| Dance & Electronic| Pop
2768,B0000255E7,Crazy Crying Blues,A2FWJ8NJKWJIKP,5.0,Music| Blues
2775,B00000C3SB,Schubert: Trout Quintet; Arpeggione Sonata; Notturno,A3DDSAGWD0UN9H,3.0,Music| Classical
2781,B00000HYHQ,Pickin' on Hendrix,A1KCAB6A5E93IE,5.0,Music| Country| Folk| Pop
2789,B00000C3SN,Stravinsky Conducts Stravinsky: The Mono Years,A16CZRQL23NOIW,5.0,Music| Classical
2792,B000068VEL,July 15 1972,A3BT5ZLAZ87H1Q,5.0,Music| Rock| World Music
2821,B000Q23DO2,Mecca For Moderns,A29ZCVZWIWZBCH,5.0,Music| Broadway & Vocalists
2849,B00000HYH3,Syrian Orthodox Church: Tradition of Tur Abdin in Mesopotamia,A6L0LTCYAEKSB,5.0,Music| Pop| World Music
2858,B0000255EA,Plunkett & Macleane,A3L9ITICJRQWT9,4.0,Music| Dance & Electronic| Pop| Soundtracks
2880,B000063W9M,New Jack Swing,A3NU1QZV04N10Z,3.0,Music| Dance & Electronic| Pop| R&B| Rap & Hip-Hop| Rock
2897,6304945221,Bellydance: Magical Motion [VHS] (1985),A281NPSIMI1C2R,4.0,Movies & TV| TV|Music| Miscellaneous
2944,B00008FG4H,Christmas With Eddie Fisher,A2R6RA8FRBS608,1.0,Music| Broadway & Vocalists| Miscellaneous| Pop| Rock
2949,B00008FG43,Knowoness [Vinyl],ACVFTS9X2MKJ8,4.0,Music| Dance & Electronic
3001,B0000255E5,One O`Clock Jump,AR14BIUHYR6B7,4.0,Music| Blues| Broadway & Vocalists| Jazz| Pop
3012,B000068VE9,Only a Suggestion,A300AR4IM0KW21,5.0,Music| Hard Rock & Metal| Pop| Rock
3022,B00000HYHS,Brazilian Soul,A1X67QWGL8QVX9,5.0,Music| Jazz| World Music
3023,B0000255EN,Grard Lesne - Ombra mai fu,A2PR6NXG0PA3KY,5.0,Music| Classical| Miscellaneous| Pop
3027,B000MTFFLS,Henryk Gorecki: String Quartet No. 3...songs are sung,A328S9RN3U5M68,5.0,Music| Classical
3039,B000020690,Airs,AVIZDOKC43P96,2.0,Music| Alternative Rock| Jazz| Miscellaneous| Pop| Rock
3042,B000I8OIHK,Complete Shostakovich Symphonies [Box Set],AUEHG0DB54B7K,5.0,Music| Classical
3048,B0000A2YEH,Pass It on,A1FELYTQNCSEAI,5.0,Music| Alternative Rock| Pop| Rock
3054,B00008FG4E,O Tannenbaum,AZX0R6GC9106N,5.0,Music| Miscellaneous| Pop
3072,B0000089PG,Tubthumper,AYOO12C9Y2T95,3.0,Music| Alternative Rock| Jazz| Pop| Rock| World Music
3178,B0000089P0,Heiland,A382AH0YTZJHQ5,4.0,Music| Dance & Electronic| World Music
3181,B000068VE4,Sir Thomas Beecham Conducts Wagner,A1GPDE0SVI2EUP,5.0,Music| Classical
3186,B00000HYHR,Swinging Kicks,A2CW9IQAPFEYLM,5.0,Music| Broadway & Vocalists| Jazz| Pop
3196,B00000HYH6,I'm a Loner,A1KUU3Z857ZWR8,4.0,Music| Folk| Pop| Rock
3197,B0000249ZN,Meridian,A2Y9S5X41ASCCX,5.0,Music| Dance & Electronic| World Music
3203,B000068VEP,Esquinas Do Tempo (4 CD's),A3CN9CCJUNIPKT,4.0,Music| Latin Music| World Music
3208,B00002069X,String Quartet Tribute to Rem,A3KQLV5QJUGE95,1.0,Music| Alternative Rock| Classical| Pop| Rock
3240,B000H309E2,5:55,A3SWWXWV1WDZ68,5.0,Music| Alternative Rock| Folk| Pop| World Music
3270,B000068VE3,"Beethoven: Symphonies Nos. 6 (""Pastoral"") & 8",AQ9T9A5WJXVA9,4.0,Music| Classical
3271,B0000089P7,Initial D: D-Selection,A2F9JDBYG6U9VH,5.0,Music| Dance & Electronic| Miscellaneous| Pop| Rock
3272,B0000255E3,Ride Red Ride,A1Q8TMHHMPQHO9,5.0,Music| Jazz
3277,B000068VED,Got to Have Your Love [UK CD #1],A3C9ZUZE9OLEEM,5.0,Music| Broadway & Vocalists| Pop
3278,B00002069M,Improvisations: Best Of Vanguard Years,A8W8JNQ9BJUYB,4.0,Music| Jazz| Pop
3289,B00008FG44,Drop the Break [Vinyl],A4BPK6TYITJS,2.0,Music| Dance & Electronic| Pop
3299,B000I8OIHA,Ives: Symphonies Nos. 1 & 4; Central Park in the Dark [Hybrid SACD],AZC562U18BK2S,3.0,Music| Classical
3303,B0000255EQ,Almost Live in Europe,A2HYKU8KGHL1SR,4.0,Music| Hard Rock & Metal| New Age| Rock
3304,B00000HYHT,Save Our Children,A4LLXH0IZ3LMQ,3.0,Music| Jazz| Pop
3325,B00008FG4W,Our Gang Funky,A2Y5SPL6VURY3D,4.0,Music| Miscellaneous| Pop| R&B
3335,B00005N5AA,Sound-Dust,A3SAOHS7JGYTSJ,4.0,Music| Alternative Rock| Miscellaneous| Pop| Rock
3380,B000068VEE,Got to Have Your Love,A3C9ZUZE9OLEEM,5.0,Music| Broadway & Vocalists| Pop
3395,B000020699,Closer to the Truth,A1LQIGGUB7R6JS,4.0,Music| Children's Music| Folk| Pop| Rap & Hip-Hop| Rock
3396,B0007M42GE,The Splendour of Fear [Vinyl],A20JK8DT702CWE,5.0,Music| Alternative Rock| Folk| Pop| Rock
3418,B00004RJAW,Classic Albums: Jimi Hendrix - Electric Ladyland (1997),A16HM5IJDLDQOP,4.0,Movies & TV| Movies|Music| Rock
3454,B00000HYHW,Lotus Flower,A6FIAB28IS79,4.0,Music| Jazz| Latin Music| Pop| World Music
3460,B00009LW59,Franz Schreker: Das Spielwerk und die Prinzessin,A33GGROUQRQZS,5.0,Music| Classical
3469,B00002069V,Lost Songs: Songs Beatles Wrote But Never Recorded,A8EDTKSPOMRWK,3.0,Music| Classic Rock| Pop| Rock
3475,B000L930I4,Evita (Complete Motion Picture Soundtrack),AR18RNXSVMXIP,5.0,Music| Broadway & Vocalists| Dance & Electronic| Miscellaneous| Pop| Soundtracks
3599,B00000HYH5,Transcendence,A31TTO8136TJZG,5.0,Music| Folk| Jazz| Pop| Rock
3601,B00008FG4A,Winter Wonderland,AQ4B80F0JSBNI,4.0,Music| Miscellaneous| Pop| R&B
3613,B000FILN8U,Rays,A1K9IW99EFBZ52,1.0,Music| Alternative Rock| Country| Folk| New Age| Pop| Rock
3633,B00004RJAZ,Classic Albums: The Band - The Band (1997),A1IBC9XP2LICQL,5.0,Movies & TV| Movies|Music| Rock
3680,B00004RJAV,Classic Albums: Fleetwood Mac - Rumours (1997),A36CHPMHHD1IO5,5.0,Movies & TV| Movies|Music| Rock
3737,B000068VES,Shifter (2 Tracks),A14PS7BDSYKG9U,5.0,Music| Dance & Electronic| Jazz
3744,B0000249ZM,Utah Saints,A1J5KCZC8CMW9I,3.0,Music| Alternative Rock| Dance & Electronic| Pop
3757,B000FILN8A,Forever: Timeless R&B Classics,A1S3IEVZI29T7H,5.0,Music| Pop| R&B
3763,B000068VEK,Rio,AG1CBZSDBQ679,4.0,Music| Jazz| Pop| World Music
3765,B000BIOH7I,Reunion,A145B8OHVNNFAJ,3.0,Music| Alternative Rock| Dance & Electronic| Pop| Rock
3787,B00000HYHZ,In the Land of Hi-Fi,A24XYRH5NG3XJX,5.0,Music| Broadway & Vocalists| Country| Jazz| Pop| Rock
3794,B000068VE0,Glory! It's The Staple Singers,A1346E5MFVIG33,5.0,Music| Christian| Gospel| Pop| R&B
3805,B000KX0HGE,Live Concert 2006,A2VXQL36IFQGKZ,5.0,Music| Broadway & Vocalists| Pop| Rock
3916,B0000630QI,Paradisiac V.4,A3L9ITICJRQWT9,2.0,Music| Dance & Electronic| Rock
3917,B0009S2THU,Essential Dolly Parton,A1GIIPXONCEEHP,5.0,Music| Country| Pop
3965,B00002611P,One Second,A2W9I628I6SE1U,5.0,Music| Alternative Rock| Classic Rock| Dance & Electronic| Pop| World Music
3970,B00000HYI6,Quiet Now: Nights of Quiet Stars,AF9BQQYCKQ3UC,5.0,Music| Jazz| Latin Music| Pop| World Music
3974,B00004WING,Logans Run,A22XZ3IJSRTQ1O,5.0,Music| Soundtracks
3980,B00008FG55,Bad Channels,A16XRPF40679KG,3.0,Music| Rock| Soundtracks
3982,B00000HYIA,Blue Bash,A2CW9IQAPFEYLM,5.0,Music| Jazz| Pop
3987,B0001O3VY2,I Com [Vinyl],A3QS1EPDZTLPWS,4.0,Music| Dance & Electronic| Pop
4008,B00064RTZY,Parchman Farm,A3EZ2PLA8AFPIF,4.0,Music| Pop| Rock
4021,B000068VFI,I Begin to Wonder,AFPQVUEI3D46K,5.0,Music| Pop| Rock
4025,B00000460N,Ronald Stevenson: Passacaglia On DSCH,A2HR0IL3TC4CKL,5.0,Music| Classical
4028,B0000089QL,Singles 91-98,A25PAMPAT4EKMJ,3.0,Music| Dance & Electronic| Latin Music| Pop| World Music
4035,B000068VF2,Hope: 25th Anniversary,A7EJMLTJA8AWR,4.0,Music| Classic Rock| Pop| Rock
4057,B00000HYIB,Plays the Duke Ellington Song Book,A6WZ2LI0JT9E4,5.0,Music| Jazz| Pop
4065,B00000460Y,Piano Works,A3GRVGD58ZUXD0,5.0,Music| Classical| Miscellaneous
4070,B00000HYI9,Tucuma,A2ZRC8P3MBIQL3,4.0,Music| Jazz| Latin Music| Pop| World Music
4080,B0000630QS,Un Bolero Por Favor,A3VYYQGXZB57ZR,5.0,Music| Broadway & Vocalists| Jazz| Latin Music| Pop| World Music
4082,B0000089QO,Life & Love,A3HU0B9XUEVHIM,5.0,Music| Gospel| Jazz| Pop| R&B| Rap & Hip-Hop| Rock
4084,B00000460M,Lyatoshnsky: Symphony 1/ Grazhyna,A6IPCERKJ6QNP,5.0,Music| Classical| Miscellaneous
4088,B000068VFJ,Beauty on the Fire 1,A1CGF9EUDEUQJA,5.0,Music| Pop| Rock
4098,B000068VF1,3:47 Est,A3O5T5VAQ3TD17,5.0,Music| Classic Rock| Pop| Rock
4130,B00000HYIC,Ella Fitzgerald Sings the Duke Ellington Songbook,A356RFKNIG043B,3.0,Music| Broadway & Vocalists| Jazz| Pop
4139,B00000460X,Mosonyi: Piano Music for Four Hands,A3GRVGD58ZUXD0,5.0,Music| Classical
4140,B00000HYI4,Quiet Now: Come a Little Closer,A3R5TRN2UP8788,4.0,Music| Broadway & Vocalists| Jazz| Pop
4145,B00000460T,Villa-Lobos: Symphonic Dances (Rudepoema; Dancas caracteristicas africanas; Danca frenetica; Danca dos mosquitos),A3DDSAGWD0UN9H,5.0,Music| Classical
4146,B0000089QV,City Baby Attacked By Rats,AT576Z9DC6HJ0,5.0,Music| Alternative Rock| Hard Rock & Metal| Pop| Rock| World Music
4158,B0000A2YFX,Frontin,A3OLZXHFGUAMWW,4.0,Music| Pop| R&B| Rap & Hip-Hop
4167,B00000460L,"Lyatoshyns'ky: Symphonies Nos. 4 and 5 ""Slavonic""",A6IPCERKJ6QNP,5.0,Music| Classical
4177,B00000C3TX,Sound of Christmas,A2INX8B6VXUVW6,4.0,Music| Classical| Jazz| Miscellaneous| Pop| R&B
4220,B00005N5BP,"Shining Stars: The Official Story of Earth, Wind, & Fire (2001)",A9Q28YTLYREO7,5.0,Movies & TV| Movies|Music| R&B
4221,B00000HYIH,West Coast Jazz,AQ9T9A5WJXVA9,5.0,Music| Jazz| Pop
